ticker,sector,fiscal_year,revenue,cogs,gross_profit,ebitda,ebit,dep_amort,interest_expense,tax_expense,net_income,eps,cash,current_assets,total_assets,current_liabilities,total_debt,short_term_debt,long_term_debt,equity,cfo,capex,financing_cash_flow,investing_cash_flow,gross_margin,ebitda_margin,ebit_margin,net_margin,roe,roa,asset_turnover,working_capital,current_ratio,debt_to_equity,interest_coverage,fcf,fcf_margin,cfo_to_net_income
AMZN,Consumer Discretionary,2021,469822.0,272344.0,197478.0,59312.0,24879.0,34433.0,1809.0,4791.0,33364.0,3.24,36220.0,161580.0,420549.0,142266.0,50235.0,1491.0,48744.0,138245.0,46327.0,61053.0,6291.0,-58154.0,0.420325144416396,0.12624355607017126,0.052954097509269465,0.07101412875514557,0.2413396506202756,0.07933439385184604,1.1171635172120253,19314.0,1.1357597739445826,0.3633766139824225,13.75290215588723,-14726.0,-0.03134378551877094,1.3885325500539503
AMZN,Consumer Discretionary,2022,513983.0,288831.0,225152.0,54169.0,12248.0,41921.0,2367.0,-3217.0,-2722.0,-0.27,53888.0,146791.0,462675.0,155393.0,70149.0,2999.0,67150.0,146043.0,46752.0,63645.0,9718.0,-37601.0,0.43805339865326287,0.10539064521589235,0.023829581912242232,-0.005295895000418302,-0.018638346240490815,-0.0058831793375479545,1.1108942562273734,-8602.0,0.9446435811136924,0.48033113535054744,5.174482467258133,-16893.0,-0.032866845790619534,-17.1756061719324
AMZN,Consumer Discretionary,2023,574785.0,304739.0,270046.0,85515.0,36852.0,48663.0,3182.0,7120.0,30425.0,2.9,73387.0,172351.0,527854.0,164917.0,66808.0,8494.0,58314.0,201875.0,84946.0,52729.0,-15879.0,-49833.0,0.46982088955000567,0.1487773689292518,0.0641144079960333,0.05293283575597832,0.15071207430340558,0.057639044129626754,1.0889090543976174,7434.0,1.0450772206625152,0.3309374613003096,11.581395348837209,32217.0,0.0560505232391242,2.7919802793755135
AMZN,Consumer Discretionary,2024,637959.0,326288.0,311671.0,121388.0,68593.0,52795.0,2406.0,9265.0,59248.0,5.53,78779.0,190867.0,624894.0,179431.0,57640.0,5017.0,52623.0,285970.0,115877.0,82999.0,-11812.0,-94342.0,0.48854393464156787,0.19027555062315918,0.1075194487420038,0.09287117197186653,0.2071825715984194,0.09481288026449286,1.020907545919788,11436.0,1.063734806137178,0.20155960415428192,28.509143807148796,32878.0,0.05153622724971354,1.9557959762354848
AMZN,Consumer Discretionary,2025,716924.0,356414.0,360510.0,145731.0,79975.0,65756.0,2274.0,19087.0,77670.0,7.17,86810.0,229083.0,818042.0,218005.0,68396.0,2748.0,65648.0,411065.0,139514.0,131819.0,9661.0,-142545.0,0.5028566486824266,0.2032725923528854,0.11155296795755199,0.10833784334183261,0.1889482198679041,0.09494622525493801,0.8763902097936291,11078.0,1.0508153482718285,0.16638731100920778,35.16930518909411,7695.0,0.010733355278941701,1.796240504699369
NVDA,Technology,2016,6910.0,2847.0,4063.0,2121.0,1934.0,187.0,58.0,239.0,1666.0,2.57,1766.0,8536.0,9841.0,1788.0,1983.0,,1983.0,5762.0,1672.0,,291.0,-793.0,0.5879884225759768,0.3069464544138929,0.27988422575976846,0.2410998552821997,0.28913571676501215,0.16929173864444672,0.7021644141855502,6748.0,4.774049217002237,0.3441513363415481,33.3448275862069,,,1.0036014405762306
NVDA,Technology,2017,9714.0,3892.0,5822.0,3409.0,3210.0,199.0,61.0,149.0,3047.0,4.82,4002.0,9255.0,11241.0,1153.0,1985.0,,1985.0,7471.0,3502.0,,-2544.0,1278.0,0.5993411570928556,0.35093679225859586,0.3304508956145769,0.3136709903232448,0.4078436621603534,0.2710612934792278,0.8641579930611155,8102.0,8.026886383347788,0.26569401686521216,52.622950819672134,,,1.14932720708894
NVDA,Technology,2018,11716.0,4545.0,7171.0,4066.0,3804.0,262.0,58.0,-245.0,4141.0,6.63,782.0,10557.0,13292.0,1329.0,1988.0,,1988.0,9342.0,3743.0,,-2866.0,-4097.0,0.6120689655172413,0.34704677364288156,0.3246841925571868,0.35344827586206895,0.44326696638835367,0.3115407764068613,0.8814324405657539,9228.0,7.943566591422122,0.21280239777349605,65.58620689655173,,,0.9038879497705868
NVDA,Technology,2019,10918.0,4150.0,6768.0,3227.0,2846.0,381.0,52.0,174.0,2796.0,1.13,10896.0,13690.0,17315.0,1784.0,1991.0,0.0,1991.0,12204.0,4761.0,,-792.0,6145.0,0.619893753434695,0.29556695365451546,0.2606704524638212,0.2560908591317091,0.22910521140609635,0.16147848686110308,0.630551544903263,11906.0,7.673766816143497,0.16314323172730252,54.73076923076923,,,1.7027896995708154
NVDA,Technology,2020,16675.0,6279.0,10396.0,5630.0,4532.0,1098.0,184.0,77.0,4332.0,1.73,847.0,16055.0,28791.0,3925.0,6963.0,999.0,5964.0,16893.0,5822.0,,3804.0,-19675.0,0.623448275862069,0.3376311844077961,0.271784107946027,0.25979010494752625,0.2564375776949032,0.1504636865687194,0.5791740474453823,12130.0,4.090445859872611,0.41218256082400995,24.630434782608695,,,1.3439519852262234
